barcode	status	assignment	log_prob_singleton	log_prob_doublet	cluster0	cluster1
29784_4_276_sorted.bam	singlet	1	-4212.848428500489	-16614.834241694447	-61004.841499954324	-4212.848428500489
29784_4_249_sorted.bam	singlet	1	-3237.786840960563	-11306.480216474984	-35471.947967618544	-3237.786840960563
29784_4_91_sorted.bam	singlet	1	-11591.69100768288	-29188.19243704765	-99671.50682709231	-11591.69100768288
29784_4_11_sorted.bam	singlet	1	-276.74212762417966	-568.5568595905336	-2331.25412301199	-276.74212762417966
29784_4_132_sorted.bam	singlet	1	-6196.308872972703	-20222.92705176702	-73530.5591673795	-6196.308872972703
29784_4_342_sorted.bam	singlet	0	-79.69535246020037	-903.7562379459977	-79.69535246020037	-4225.033925856236
29784_4_45_sorted.bam	doublet	1/0	-2051.6817076187594	-798.5898228011918	-2201.2814282906616	-2051.6817076187594
29784_4_221_sorted.bam	singlet	1	-1310.7332142268895	-2912.741931235772	-11598.787353383274	-1310.7332142268895
29784_4_31_sorted.bam	singlet	1	-748.9314731644688	-1563.6392868366527	-6739.994500161081	-748.9314731644688
29784_4_275_sorted.bam	singlet	0	-4604.0290615499935	-22477.602459826197	-4604.0290615499935	-91533.8180557141
29784_4_266_sorted.bam	singlet	1	-10406.133353717916	-22757.41557751559	-69612.71860335338	-10406.133353717916
29784_4_54_sorted.bam	singlet	0	-3077.058974587385	-17149.44953486264	-3077.058974587385	-54404.17256794102
29784_4_365_sorted.bam	singlet	1	-1987.631858860185	-4140.124068214382	-11839.866070166241	-1987.631858860185
29784_4_198_sorted.bam	singlet	0	-1749.3352947187425	-6646.198999448084	-1749.3352947187425	-28813.21151018882
29784_4_9_sorted.bam	singlet	1	-376.4494288379374	-916.3724188493424	-3884.2352890022976	-376.4494288379374
29784_4_142_sorted.bam	singlet	1	-9404.575671363305	-19347.5548126337	-62439.10177162668	-9404.575671363305
29784_4_128_sorted.bam	singlet	1	-2828.743670861822	-6499.1048663845	-23354.36483298202	-2828.743670861822
29784_4_99_sorted.bam	singlet	0	-2495.7383455950867	-8958.252264987552	-2495.7383455950867	-42203.63941444237
29784_4_250_sorted.bam	doublet	0/1	-35031.70856941088	-21168.301922802817	-35031.70856941088	-47208.03072581007
29784_4_151_sorted.bam	singlet	1	-2081.1662121024387	-4357.612972535511	-16251.140737003052	-2081.1662121024387
29784_4_52_sorted.bam	singlet	0	-1839.1526050412388	-10428.696272161884	-1839.1526050412388	-50671.84956488703
29784_4_322_sorted.bam	singlet	0	-7487.513929818382	-37762.46678642754	-7487.513929818382	-126612.9025737256
29784_4_313_sorted.bam	singlet	1	-1204.7498502436365	-2820.6950358256336	-11226.836015206285	-1204.7498502436365
29784_4_59_sorted.bam	singlet	1	-7038.781784594659	-22197.72521103646	-82097.27564879938	-7038.781784594659
29784_4_145_sorted.bam	singlet	0	-37.006741430255374	-101.29015996676766	-37.006741430255374	-504.3427335869917
